'id'|'codigo'|'descripcion'|'destino'|'codigo_malambo'|'codigo_datasoft'|'agropecuario'|'ilicode'|'itfcode'
'20'|'Lote no urbanizable'||'T'|'T'|'014'|'f'|'Lote_No_Urbanizable'|'22'
'21'|'Pecuario'||'M'|'M'|'025'|'f'|'Pecuario'|'24'
'22'|'Recreacional'||'G'|'G'|'007'|'f'|'Recreacional'|'25'
'23'|'Religioso'||'K'|'K'|'029'|'f'|'Religioso'|'26'
'24'|'Salubridad'||'H'|'H'|'008'|'f'|'Salubridad'|'27'
'25'|'Servicios funerarios'|'LAMD'|'CC'|'Y'|'000'|'f'|'Servicios_Funerarios'|'28'
'26'|'Uso público'||'P'|'P'|'034'|'f'|'Uso_Publico'|'30'
'27'|'Agropecuario'||'D'|'D'|'004'|'t'|'Agropecuario'|'4'
'28'|'Minero'|'NO EXISTE EN SINIC'|'E'|'E'|'005'|'f'|'Mineria_Hidrocarburos'|'19'
'8'|'Forestal'|'NO EXISTE EN SINIC'|'O'|'O'|'030'|'f'|'Forestal'|
'32'|'Forestal Productor'|'CATASTRO REGISTRO'|'AC'|'AC'|'030'|'f'|'Forestal_Productor'|'9'
'35'|'Infraestructura Energia Renovable Electrica'|'CATASTRO REGISTRO'|'AD'|'AD'||'f'|'Infraestructura_Energia_Renovable_Electrica'|'17'
'31'|'Conservacion Proteccion Ambiental'|'CATASTRO REGISTRO'|'AB'|'AB'||'f'|'Conservacion_Proteccion_Ambiental'|'6'
'33'|'Lote Rural'|'CATASTRO REGISTRO'|'AE'|'AE'||'f'|'Lote_Rural'|'23'
'34'|'Servicios Sociales'|'CATASTRO REGISTRO'|'AF'|'AF'||'f'|'Servicios_Sociales'|'29'
'1'|'Acuicola'|'LAMD'|'U'|'U'|'000'|'f'|'Acuicola'|'0'
'2'|'Agrícola'||'L'|'L'|'024'|'f'|'Agricola'|'1'
'3'|'Agroindustrial'||'N'|'N'|'028'|'f'|'Agroindustrial'|'2'
'4'|'Agroforestal'|'LAMD'|'V'|'Z'|'000'|'f'|'Agroforestal'|'3'
'5'|'Comercial'||'C'|'C'|'003'|'f'|'Comercial'|'5'
'6'|'Cultural'||'F'|'F'|'006'|'f'|'Cultural'|'7'
'7'|'Educativo'||'J'|'J'|'027'|'f'|'Educativo'|'8'
'29'|'Servicios Especiales'|'NO EXISTE EN SINIC'|'Q'|'Q'|'026'|'f'|'Servicios_Especiales'|
'9'|'Habitacional'||'A'|'A'|'001'|'f'|'Habitacional'|'10'
'10'|'Industrial'||'B'|'B'|'002'|'f'|'Industrial'|'11'
'11'|'Infraestructura asociada a producción agropecuaria'|'LAMD'|'W'|'AA'|'000'|'f'|'Infraestructura_Asociada_Produccion_Agropecuaria'|'12'
'12'|'Infraestructura hidráulica'|'LAMD'|'X'|'V'|'000'|'f'|'Infraestructura_Hidraulica'|'13'
'13'|'Infraestructura saneamiento_basico'|'LAMD'|'Y'|'AC'|'000'|'f'|'Infraestructura_Saneamiento_Basico'|'14'
'14'|'Infraestructura seguridad'|'LAMD'|'Z'|'AB'|'054'|'f'|'Infraestructura_Seguridad'|'15'
'15'|'Infraestructura transporte'|'LAMD'|'AA'|'X'|'000'|'f'|'Infraestructura_Transporte'|'16'
'16'|'Institucional'||'I'|'I'|'009'|'f'|'Institucional'|'18'
'17'|'Minería hidrocarburos'|'LAMD'|'E'|'W'|'000'|'f'|'Mineria_Hidrocarburos'|'19'
'18'|'Lote urbanizable no urbanizado'||'R'|'R'|'013'|'f'|'Lote_Urbanizable_No_Urbanizado'|'20'
'19'|'Lote urbanizado no construido'||'S'|'S'|'012'|'f'|'Lote_Urbanizado_No_Construido'|'21'
